source,title ,type ,event,factor,Who experienced ,actions,platform,factor team,experienced team
https://en.africatopsports.com/2023/11/08/tottenham-hand-fan-3-year-ban-on-fan-for-racist-gesture-on-son/,TOTTENHAM HAND FAN 3-YEAR BAN FOR RACIST GESTURE ON SON,race,After win,fan,player,3 years ban,,Crystal Palace,Tottenham
https://www.theguardian.com/football/2023/nov/05/newcastle-condemn-racist-abuse-joe-willock-bruno-guimaraes-social-media,Newcastle condemn racist abuse sent to Willock and Guimarães on social media,race,After win,fan,players,,instegram,Arsenal,Newcastle
https://www.bbc.com/sport/football/67073388,Luton Town say Elijah Adebayo 'tired' of racist abuse after fresh incident,race,After win,fan,player,,instegram,Luton Town,Luton Town
https://www.beinsports.com/en-us/soccer/premier-league/articles/tottenham-disgusted-by-online-racist-abuse-of-defender-destiny-udogie-2023-10-02,Tottenham ‘disgusted’ by online racist abuse of defender Destiny Udogie,race,After win,fan,player,,,Liverpool,Tottenham
https://www.beinsports.com/en-us/soccer/premier-league/articles/football-is-the-worst-sport-for-racism-says-sheff-utd-boss-paul-heckingbottom-2023-09-22,Blades goalkeeper Wes Foderingham revealed he had suffered from racist threats after the defeat at Tottenham.,race,After lose,fan,player,,, Sheffield United, Sheffield United
https://www.dailymail.co.uk/sport/football/article-12476307/Wolves-player-alleges-racist-abuse-crystal-palace.html,Crystal Palace supporter is arrested and under investigation after Wolves player alleged he suffered racist abuse during their 3-2 defeat at Selhurst Park,,During win,fan,player,arrest,in the stadium,Crystal Palace,wolves
https://www.itv.com/news/granada/2023-08-21/everton-condemn-vile-racist-abuse-and-vow-to-find-the-online-perpetrator,Everton Football Club condemn 'vile' racist abuse on social media and vow to find perpetrator,race,,fan,player,,,,Everton
https://www.independent.co.uk/sport/football/joelinton-arsenal-racist-abuse-newcastle-b2356502.html,Joelinton reveals he suffered racist abuse after loss to Arsenal,race,After lose,fan,player,,,Arsenal,Newcastle
https://edition.cnn.com/2023/05/07/football/son-heung-min-tottenham-hotspur-crystal-palace-premier-league-spt-intl/index.html,Tottenham Hotspur and Crystal Palace condemn alleged racial abuse towards Son Heung-min during Premier League game,race,During win,fan,player,,in the stadium,Crystal Palace,Tottenham
https://www.mirror.co.uk/sport/football/news/martin-tyler-racism-son-spurs-29855783,Sky Sports commentator Martin Tyler accused of 'racist' comment about Son Heung-min,race,After goal,commentator,player,,in the stadium,,Tottenham
https://metro.co.uk/2023/04/19/police-confirm-they-are-investigating-online-racist-abuse-of-arsenal-star-bukayo-saka-18635534/,Police confirm they are investigating online racist abuse of Arsenal star Bukayo Saka,race,Missing a penalty,fan,player,,twitter,Arsenal,Arsenal
https://edition.cnn.com/2023/03/15/football/ivan-toney-brentford-racism-ban-spt-intl/index.html,Ivan Toney: Soccer fan banned from every UK stadium for three years for racially abusing Premier League star,race,,fan,player,3 years ban,instegram,,Brentford
https://theathletic.com/4302060/2023/03/13/kyle-walker-peters-racism-southampton/,Southampton’s Kyle Walker-Peters subjected to online racist abuse following Manchester United draw,race,After draw,fan,player,,instegram,Manchester united,Southampton
https://www.skysports.com/football/news/11095/12815562/heung-min-son-tottenham-call-for-action-after-online-racist-abuse-aimed-at-forward,Heung-Min Son: Tottenham call for action after online racist abuse aimed at forward,race,After win,fan,player,,,WestHam,Tottenham
https://edition.cnn.com/2023/02/13/football/brentford-ivan-toney-racial-abuse-spt-intl/index.html,Premier League club Brentford ‘disgusted’ by ‘barrage of abusive racist messages’ received by star player,race,After goal,fan,player,,instegram,Arsenal,Brentford
https://www.cbc.ca/sports/soccer/ivan-toney-racial-abused-brentford-1.6617925,English Premier League player Toney suffers online racial abuse after Brentford victory,race,After win,fan,player,,instegram,Brighton,Brentford
https://www.cbc.ca/sports/soccer/chelsea-bans-supporter-racial-abuse-1.6557523,Chelsea bans fan indefinitely for alleged racial abuse of Son Heung-min,race,,fan,player,ban,in the stadium,Chelsea,Tottenham